Date,Open,High,Low,Close,Adj Close,Volume
5/18/2018,31.957399,32.0779,31.0529,31.4147,31.4147,24378952
5/21/2018,31.535299,32.1684,31.3242,31.866899,31.866899,12623648
5/22/2018,31.9272,33.706001,31.565399,33.103001,33.103001,25035402
5/23/2018,33.1633,33.826599,32.5905,32.952301,32.952301,19278657
5/24/2018,33.133099,34.881802,33.0126,34.308899,34.308899,26412670
5/25/2018,34.881802,36.9319,34.369202,36.027401,36.027401,47339433
5/28/2018,36.690701,37.353901,36.057499,36.9921,36.9921,17733387
5/29/2018,37.0826,38.107601,36.750999,37.564999,37.564999,28158972
5/30/2018,37.384102,37.987,36.720798,37.293598,37.293598,24563361
5/31/2018,37.384102,37.956902,36.449501,37.0826,37.0826,39445809
6/1/2018,37.987,37.987,36.750999,37.2635,37.2635,21289095
6/4/2018,37.866501,38.4091,37.2635,37.9268,37.9268,17778754
6/5/2018,38.499599,38.499599,33.3442,34.0979,34.0979,65232976
6/6/2018,33.7663,35.8465,33.374298,35.544998,35.544998,35831451
6/7/2018,35.575199,37.5951,35.575199,37.2635,37.2635,24385838
6/8/2018,37.203201,39.072399,36.6605,38.6805,38.6805,34926960
6/11/2018,39.0121,39.403999,38.047298,38.439301,38.439301,20214212
6/12/2018,38.4091,39.705502,38.0172,39.3437,39.3437,20916973
6/13/2018,38.801102,38.891499,36.750999,37.0826,37.0826,36981631
6/14/2018,37.112701,38.047298,37.112701,37.866501,37.866501,16360180
6/15/2018,37.564999,38.1679,36.2686,36.570099,36.570099,45304677
6/18/2018,37.806198,38.107601,37.203201,37.534801,37.534801,28279930
6/19/2018,37.5047,37.6856,36.8414,37.203201,37.203201,13384357
6/20/2018,37.9268,37.956902,36.9319,37.0826,37.0826,14738105
6/21/2018,37.323799,37.323799,36.359001,36.6605,36.6605,10189626
6/22/2018,36.781101,36.8414,36.2686,36.5098,36.5098,9208239
6/25/2018,36.208302,36.298698,33.525101,33.7663,33.7663,46858445
6/26/2018,33.7663,35.183201,33.283901,34.942101,34.942101,42668122
6/27/2018,34.972198,35.4244,32.861801,33.5854,33.5854,27450297
6/28/2018,33.5854,34.610401,33.042702,34.188301,34.188301,29327932
6/29/2018,34.972198,36.057499,33.645699,35.786201,35.786201,21911326
7/2/2018,35.5149,35.544998,33.555199,34.399399,34.399399,18522046
7/3/2018,34.821499,34.942101,33.826599,34.2486,34.2486,17076137
7/4/2018,34.2486,34.429501,33.193401,33.2537,33.2537,16894066
7/5/2018,32.982399,33.917,32.289001,32.861801,32.861801,29269770
7/6/2018,32.5,33.3442,32.439701,32.982399,32.982399,15300192
7/9/2018,33.283901,33.5854,32.801498,32.9221,32.9221,11981756
7/10/2018,34.0075,34.369202,33.193401,33.645699,33.645699,28328543
7/11/2018,33.886902,33.886902,31.7463,32.5905,32.5905,28644810
7/12/2018,32.5905,33.374298,32.409599,32.7714,32.7714,23978865
7/13/2018,32.7714,32.982399,31.866899,32.1684,32.1684,31346313
7/16/2018,31.957399,32.861801,31.444799,31.6257,31.6257,34576486
7/17/2018,31.655899,32.0779,31.0529,31.6257,31.6257,36703816
7/18/2018,31.655899,31.9272,29.1234,30.1485,30.1485,48534020
7/19/2018,30.1485,30.6308,29.364599,30.389601,30.389601,14120596
7/20/2018,30.268999,31.143299,29.6661,30.8419,30.8419,11940349
7/23/2018,30.7213,31.9272,30.359501,31.686001,31.686001,14340483
7/24/2018,32.560299,36.9319,32.439701,34.0075,34.0075,128891779
7/25/2018,34.0979,34.127998,32.9221,33.103001,33.103001,26222194
